Time,U,V,W,U Avg,V Avg,W Avg,U'=U - U avg,V'=V - V avg,W'=W - W avg,Octant,,Octant ID,+1,-1,+2,-2,+3,-3,+4,-4
85.01,27.32,-2.41,0.8,,,,0.013466465,-2.458330476,0.692422256,+4,,,,,,,,,,
85.02,25.38,-0.55,1.09,,,,-1.926533535,-0.598330476,0.982422256,+3,,,,,,,,,,
85.03,30.23,-1.42,1.05,,,,2.923466465,-1.468330476,0.942422256,+4,,,,,,,,,,
85.04,28.45,-2.29,0.63,,,,1.143466465,-2.338330476,0.522422256,+4,,,,,,,,,,
85.05,26.44,-0.07,1,,,,-0.866533535,-0.118330476,0.892422256,+3,,,,,,,,,,
85.06,28.22,0.23,0.87,,,,0.913466465,0.181669524,0.762422256,+1,,,,,,,,,,
85.07,30.01,0.54,0.74,,,,2.703466465,0.491669524,0.632422256,+1,,,,,,,,,,
85.08,28.51,-1.38,0.83,,,,1.203466465,-1.428330476,0.722422256,+4,,,,,,,,,,
85.09,29.85,-0.17,1.81,,,,2.543466465,-0.218330476,1.702422256,+4,,,,,,,,,,
85.1,30.03,4.56,0.78,,,,2.723466465,4.511669524,0.672422256,+1,,,,,,,,,,
85.11,30.57,4.34,0.06,,,,3.263466465,4.291669524,-0.047577744,-1,,,,,,,,,,
85.12,29.55,4.12,-1.09,,,,2.243466465,4.071669524,-1.197577744,-1,,,,,,,,,,
85.13,26.98,4.78,-0.83,,,,-0.326533535,4.731669524,-0.937577744,-2,,,,,,,,,,
85.14,27.2,5.8,-0.86,,,,-0.106533535,5.751669524,-0.967577744,-2,,,,,,,,,,
85.15,26,6.64,-0.11,,,,-1.306533535,6.591669524,-0.217577744,-2,,,,,,,,,,
85.16,25.95,7.39,0.6,,,,-1.356533535,7.341669524,0.492422256,+2,,,,,,,,,,
85.17,25.9,6.18,1.31,,,,-1.406533535,6.131669524,1.202422256,+2,,,,,,,,,,
85.18,23.29,3.05,2.01,,,,-4.016533535,3.001669524,1.902422256,+2,,,,,,,,,,
85.19,27.91,-0.08,2.3,,,,0.603466465,-0.128330476,2.192422256,+4,,,,,,,,,,
85.2,27.27,-0.18,1.33,,,,-0.036533535,-0.228330476,1.222422256,+3,,,,,,,,,,
85.21,26.64,-0.28,0.37,,,,-0.666533535,-0.328330476,0.262422256,+3,,,,,,,,,,
85.22,28.09,2.6,2.02,,,,0.783466465,2.551669524,1.912422256,+1,,,,,,,,,,
85.23,26.86,1.1,2.35,,,,-0.446533535,1.051669524,2.242422256,+2,,,,,,,,,,
85.24,25.63,-0.4,2.78,,,,-1.676533535,-0.448330476,2.672422256,+3,,,,,,,,,,
85.25,23.3,1.97,2.66,,,,-4.006533535,1.921669524,2.552422256,+2,,,,,,,,,,
85.26,24.83,2.2,2.55,,,,-2.476533535,2.151669524,2.442422256,+2,,,,,,,,,,
85.27,29.12,4.65,1.96,,,,1.813466465,4.601669524,1.852422256,+1,,,,,,,,,,
85.28,26.85,3.13,1.35,,,,-0.456533535,3.081669524,1.242422256,+2,,,,,,,,,,
85.29,23.83,3.4,1.81,,,,-3.476533535,3.351669524,1.702422256,+2,,,,,,,,,,
85.3,25.2,1.55,1.48,,,,-2.106533535,1.501669524,1.372422256,+2,,,,,,,,,,
85.31,25.23,4.69,1.1,,,,-2.076533535,4.641669524,0.992422256,+2,,,,,,,,,,
85.32,25.45,5.18,0.76,,,,-1.856533535,5.131669524,0.652422256,+2,,,,,,,,,,
85.33,25.67,3.71,0.43,,,,-1.636533535,3.661669524,0.322422256,+2,,,,,,,,,,
85.34,23.47,2.25,0.46,,,,-3.836533535,2.201669524,0.352422256,+2,,,,,,,,,,
85.35,25.13,1.16,1.37,,,,-2.176533535,1.111669524,1.262422256,+2,,,,,,,,,,
85.36,25.24,1.93,1.31,,,,-2.066533535,1.881669524,1.202422256,+2,,,,,,,,,,
85.37,23.7,-3.48,1.42,,,,-3.606533535,-3.528330476,1.312422256,+3,,,,,,,,,,
85.38,23.37,0.68,2.36,,,,-3.936533535,0.631669524,2.252422256,+2,,,,,,,,,,
85.39,28.74,0.89,0.79,,,,1.433466465,0.841669524,0.682422256,+1,,,,,,,,,,
85.4,29.71,1.11,-0.76,,,,2.403466465,1.061669524,-0.867577744,-1,,,,,,,,,,
85.41,30.68,0.52,-0.52,,,,3.373466465,0.471669524,-0.627577744,-1,,,,,,,,,,
85.42,27.27,-0.06,-0.28,,,,-0.036533535,-0.108330476,-0.387577744,-3,,,,,,,,,,
85.43,32.13,3.06,1.78,,,,4.823466465,3.011669524,1.672422256,+1,,,,,,,,,,
85.44,29.92,1.44,1.88,,,,2.613466465,1.391669524,1.772422256,+1,,,,,,,,,,
85.45,31.83,1.43,1.37,,,,4.523466465,1.381669524,1.262422256,+1,,,,,,,,,,
85.46,29.6,2,0.93,,,,2.293466465,1.951669524,0.822422256,+1,,,,,,,,,,
85.47,31.54,1.66,-0.46,,,,4.233466465,1.611669524,-0.567577744,-1,,,,,,,,,,
85.48,33.48,1.33,-1.86,,,,6.173466465,1.281669524,-1.967577744,-1,,,,,,,,,,
85.49,26.49,-1.15,-2.23,,,,-0.816533535,-1.198330476,-2.337577744,-3,,,,,,,,,,
85.5,29.98,0.08,-2.04,,,,2.673466465,0.031669524,-2.147577744,-1,,,,,,,,,,
85.51,32.75,4.38,0.35,,,,5.443466465,4.331669524,0.242422256,+1,,,,,,,,,,
85.52,33.32,3.94,-0.21,,,,6.013466465,3.891669524,-0.317577744,-1,,,,,,,,,,
85.53,32.9,-1.95,-0.51,,,,5.593466465,-1.998330476,-0.617577744,-4,,,,,,,,,,
85.54,32.5,-3.89,-1.66,,,,5.193466465,-3.938330476,-1.767577744,-4,,,,,,,,,,
85.55,31.13,-3,-2.59,,,,3.823466465,-3.048330476,-2.697577744,-4,,,,,,,,,,
85.56,31.47,-2.11,-2.23,,,,4.163466465,-2.158330476,-2.337577744,-4,,,,,,,,,,
85.57,25.82,-2.35,-1.88,,,,-1.486533535,-2.398330476,-1.987577744,-3,,,,,,,,,,
85.58,23.59,-2.04,-0.05,,,,-3.716533535,-2.088330476,-0.157577744,-3,,,,,,,,,,
85.59,21.36,-1.75,1.77,,,,-5.946533535,-1.798330476,1.662422256,+3,,,,,,,,,,
85.6,22.47,-1.89,0.86,,,,-4.836533535,-1.938330476,0.752422256,+3,,,,,,,,,,
85.61,21.91,-1.82,1.31,,,,-5.396533535,-1.868330476,1.202422256,+3,,,,,,,,,,
85.62,29.64,1.29,1.51,,,,2.333466465,1.241669524,1.402422256,+1,,,,,,,,,,
85.63,25.77,-0.26,1.41,,,,-1.536533535,-0.308330476,1.302422256,+3,,,,,,,,,,
85.64,24.92,1.61,0.65,,,,-2.386533535,1.561669524,0.542422256,+2,,,,,,,,,,
85.65,24.7,2.77,1.21,,,,-2.606533535,2.721669524,1.102422256,+2,,,,,,,,,,
85.66,26.85,2.47,0.81,,,,-0.456533535,2.421669524,0.702422256,+2,,,,,,,,,,
85.67,26.05,-0.85,0.43,,,,-1.256533535,-0.898330476,0.322422256,+3,,,,,,,,,,
85.68,28.31,-0.57,0,,,,1.003466465,-0.618330476,-0.107577744,-4,,,,,,,,,,
85.69,30.63,-2.19,-0.43,,,,3.323466465,-2.238330476,-0.537577744,-4,,,,,,,,,,
85.7,29.74,-3.82,0.13,,,,2.433466465,-3.868330476,0.022422256,+4,,,,,,,,,,
85.71,29.03,-5.22,0.37,,,,1.723466465,-5.268330476,0.262422256,+4,,,,,,,,,,
85.72,28.33,-5.98,0.62,,,,1.023466465,-6.028330476,0.512422256,+4,,,,,,,,,,
85.73,28.9,-5.4,1,,,,1.593466465,-5.448330476,0.892422256,+4,,,,,,,,,,
85.74,29.78,-3.43,0.82,,,,2.473466465,-3.478330476,0.712422256,+4,,,,,,,,,,
85.75,29,-1.47,0,,,,1.693466465,-1.518330476,-0.107577744,-4,,,,,,,,,,
85.76,28.22,1.89,-0.83,,,,0.913466465,1.841669524,-0.937577744,-1,,,,,,,,,,
85.77,25.02,-1.37,-0.41,,,,-2.286533535,-1.418330476,-0.517577744,-3,,,,,,,,,,
85.78,23.54,1.71,0,,,,-3.766533535,1.661669524,-0.107577744,-2,,,,,,,,,,
85.79,26.78,-1.83,-0.28,,,,-0.526533535,-1.878330476,-0.387577744,-3,,,,,,,,,,
85.8,25.66,-3.07,0.27,,,,-1.646533535,-3.118330476,0.162422256,+3,,,,,,,,,,
85.81,24.54,-4.32,0.83,,,,-2.766533535,-4.368330476,0.722422256,+3,,,,,,,,,,
85.82,27.16,0.65,0.98,,,,-0.146533535,0.601669524,0.872422256,+2,,,,,,,,,,
85.83,27.95,0.08,0.92,,,,0.643466465,0.031669524,0.812422256,+1,,,,,,,,,,
85.84,30.16,2.51,-0.12,,,,2.853466465,2.461669524,-0.227577744,-1,,,,,,,,,,
85.85,30.69,-1.68,-0.89,,,,3.383466465,-1.728330476,-0.997577744,-4,,,,,,,,,,
85.86,31.22,-0.13,-1.66,,,,3.913466465,-0.178330476,-1.767577744,-4,,,,,,,,,,
85.87,30.45,1.21,-1.75,,,,3.143466465,1.161669524,-1.857577744,-1,,,,,,,,,,
85.88,31.35,2.58,-2.03,,,,4.043466465,2.531669524,-2.137577744,-1,,,,,,,,,,
85.89,32.26,-1.13,-2.19,,,,4.953466465,-1.178330476,-2.297577744,-4,,,,,,,,,,
85.9,33.27,-1.3,-1.99,,,,5.963466465,-1.348330476,-2.097577744,-4,,,,,,,,,,
85.91,33.16,1.09,-1.79,,,,5.853466465,1.041669524,-1.897577744,-1,,,,,,,,,,
85.92,33.43,0.24,-1.94,,,,6.123466465,0.191669524,-2.047577744,-1,,,,,,,,,,
85.93,32.45,0.55,-0.72,,,,5.143466465,0.501669524,-0.827577744,-1,,,,,,,,,,
85.94,31.48,0.85,-0.22,,,,4.173466465,0.801669524,-0.327577744,-1,,,,,,,,,,
85.95,33.05,3.3,0.59,,,,5.743466465,3.251669524,0.482422256,+1,,,,,,,,,,
85.96,33.57,0.13,-0.3,,,,6.263466465,0.081669524,-0.407577744,-1,,,,,,,,,,
85.97,34.31,-3.03,-1.19,,,,7.003466465,-3.078330476,-1.297577744,-4,,,,,,,,,,
85.98,36.37,-4.38,-1.88,,,,9.063466465,-4.428330476,-1.987577744,-4,,,,,,,,,,
85.99,35.98,-4.86,-2.18,,,,8.673466465,-4.908330476,-2.287577744,-4,,,,,,,,,,
86,34.37,-4.42,-2.42,,,,7.063466465,-4.468330476,-2.527577744,-4,,,,,,,,,,
86.01,32.76,-3.99,-2.25,,,,5.453466465,-4.038330476,-2.357577744,-4,,,,,,,,,,
86.02,33.57,-2.26,-2.09,,,,6.263466465,-2.308330476,-2.197577744,-4,,,,,,,,,,
86.03,33.03,-0.54,-1.53,,,,5.723466465,-0.588330476,-1.637577744,-4,,,,,,,,,,
86.04,32.49,-2.18,-1.82,,,,5.183466465,-2.228330476,-1.927577744,-4,,,,,,,,,,
86.05,33.44,-3.83,-1.67,,,,6.133466465,-3.878330476,-1.777577744,-4,,,,,,,,,,
86.06,29.67,0.21,-0.46,,,,2.363466465,0.161669524,-0.567577744,-1,,,,,,,,,,
86.07,32.17,-1.37,-0.43,,,,4.863466465,-1.418330476,-0.537577744,-4,,,,,,,,,,
86.08,29.12,-0.92,0.68,,,,1.813466465,-0.968330476,0.572422256,+4,,,,,,,,,,
86.09,27.87,1.35,1.1,,,,0.563466465,1.301669524,0.992422256,+1,,,,,,,,,,
86.1,28.1,-1,0.82,,,,0.793466465,-1.048330476,0.712422256,+4,,,,,,,,,,
86.11,28.75,-1.86,1.28,,,,1.443466465,-1.908330476,1.172422256,+4,,,,,,,,,,
86.12,28.24,-1.14,0.62,,,,0.933466465,-1.188330476,0.512422256,+4,,,,,,,,,,
86.13,27.73,-0.43,-0.03,,,,0.423466465,-0.478330476,-0.137577744,-4,,,,,,,,,,
86.14,26.4,-0.48,0.76,,,,-0.906533535,-0.528330476,0.652422256,+3,,,,,,,,,,
86.15,28.04,2.41,0.43,,,,0.733466465,2.361669524,0.322422256,+1,,,,,,,,,,
86.16,31.57,-0.62,-0.98,,,,4.263466465,-0.668330476,-1.087577744,-4,,,,,,,,,,
86.17,32.22,0.1,-1.59,,,,4.913466465,0.051669524,-1.697577744,-1,,,,,,,,,,
86.18,32.87,-0.43,-2.3,,,,5.563466465,-0.478330476,-2.407577744,-4,,,,,,,,,,
86.19,31.49,-0.2,-2.1,,,,4.183466465,-0.248330476,-2.207577744,-4,,,,,,,,,,
86.2,30.12,-4.08,-2.18,,,,2.813466465,-4.128330476,-2.287577744,-4,,,,,,,,,,
86.21,26.44,-2.84,-0.86,,,,-0.866533535,-2.888330476,-0.967577744,-3,,,,,,,,,,
86.22,28.28,-3.46,-1.52,,,,0.973466465,-3.508330476,-1.627577744,-4,,,,,,,,,,
86.23,31.89,-2.24,-1.66,,,,4.583466465,-2.288330476,-1.767577744,-4,,,,,,,,,,
86.24,35.84,-2.07,-2.09,,,,8.533466465,-2.118330476,-2.197577744,-4,,,,,,,,,,
86.25,36.76,0.94,-1.97,,,,9.453466465,0.891669524,-2.077577744,-1,,,,,,,,,,
86.26,36.91,1.43,-1.95,,,,9.603466465,1.381669524,-2.057577744,-1,,,,,,,,,,
86.27,36.78,0.8,-1.94,,,,9.473466465,0.751669524,-2.047577744,-1,,,,,,,,,,
86.28,36.22,2.08,-1.73,,,,8.913466465,2.031669524,-1.837577744,-1,,,,,,,,,,
86.29,36.23,0.68,-1.19,,,,8.923466465,0.631669524,-1.297577744,-1,,,,,,,,,,
86.3,36.92,1.84,-1.46,,,,9.613466465,1.791669524,-1.567577744,-1,,,,,,,,,,
86.31,36.87,-3.75,-1.73,,,,9.563466465,-3.798330476,-1.837577744,-4,,,,,,,,,,
86.32,35.68,-1.57,-1,,,,8.373466465,-1.618330476,-1.107577744,-4,,,,,,,,,,
86.33,36.15,-0.48,-1.2,,,,8.843466465,-0.528330476,-1.307577744,-4,,,,,,,,,,
86.34,37.7,-0.05,-0.15,,,,10.39346646,-0.098330476,-0.257577744,-4,,,,,,,,,,
86.35,36.35,1.92,0,,,,9.043466465,1.871669524,-0.107577744,-1,,,,,,,,,,
86.36,35.86,3.9,-1.31,,,,8.553466465,3.851669524,-1.417577744,-1,,,,,,,,,,
86.37,35.35,2.3,-2.73,,,,8.043466465,2.251669524,-2.837577744,-1,,,,,,,,,,
86.38,34.59,1.99,-3.63,,,,7.283466465,1.941669524,-3.737577744,-1,,,,,,,,,,
86.39,31.67,1.15,-3.74,,,,4.363466465,1.101669524,-3.847577744,-1,,,,,,,,,,
86.4,28.76,-0.1,-3.97,,,,1.453466465,-0.148330476,-4.077577744,-4,,,,,,,,,,
86.41,31.3,0.52,-3.65,,,,3.993466465,0.471669524,-3.757577744,-1,,,,,,,,,,
86.42,35.21,2.41,-2.84,,,,7.903466465,2.361669524,-2.947577744,-1,,,,,,,,,,
86.43,38.47,-3.66,-2.04,,,,11.16346646,-3.708330476,-2.147577744,-4,,,,,,,,,,
86.44,39.45,-5.18,-0.78,,,,12.14346646,-5.228330476,-0.887577744,-4,,,,,,,,,,
86.45,36.44,-6.2,-1.41,,,,9.133466465,-6.248330476,-1.517577744,-4,,,,,,,,,,
86.46,33.44,-5.61,-0.72,,,,6.133466465,-5.658330476,-0.827577744,-4,,,,,,,,,,
86.47,30.59,-2.71,1.25,,,,3.283466465,-2.758330476,1.142422256,+4,,,,,,,,,,
86.48,27.52,0.19,-0.21,,,,0.213466465,0.141669524,-0.317577744,-1,,,,,,,,,,
86.49,29.05,-2.41,0.52,,,,1.743466465,-2.458330476,0.412422256,+4,,,,,,,,,,
86.5,28.28,-1.11,0.15,,,,0.973466465,-1.158330476,0.042422256,+4,,,,,,,,,,
86.51,29.66,2.25,-0.82,,,,2.353466465,2.201669524,-0.927577744,-1,,,,,,,,,,
86.52,29.9,3.98,-0.1,,,,2.593466465,3.931669524,-0.207577744,-1,,,,,,,,,,
86.53,30.64,4.9,0.15,,,,3.333466465,4.851669524,0.042422256,+1,,,,,,,,,,
86.54,31.38,4.33,0.4,,,,4.073466465,4.281669524,0.292422256,+1,,,,,,,,,,
86.55,32.98,3.77,-0.82,,,,5.673466465,3.721669524,-0.927577744,-1,,,,,,,,,,
86.56,30.01,4.41,-0.81,,,,2.703466465,4.361669524,-0.917577744,-1,,,,,,,,,,
86.57,30.86,1.22,-1.71,,,,3.553466465,1.171669524,-1.817577744,-1,,,,,,,,,,
86.58,26.3,0.74,-1.88,,,,-1.006533535,0.691669524,-1.987577744,-2,,,,,,,,,,
86.59,28.57,0.98,-1.79,,,,1.263466465,0.931669524,-1.897577744,-1,,,,,,,,,,
86.6,28.16,-4.61,-1.64,,,,0.853466465,-4.658330476,-1.747577744,-4,,,,,,,,,,
86.61,27.07,-4.14,-0.71,,,,-0.236533535,-4.188330476,-0.817577744,-3,,,,,,,,,,
86.62,32.64,-2.43,-1.16,,,,5.333466465,-2.478330476,-1.267577744,-4,,,,,,,,,,
86.63,30.32,-3.43,-1.16,,,,3.013466465,-3.478330476,-1.267577744,-4,,,,,,,,,,
86.64,30.43,-4.44,-1.05,,,,3.123466465,-4.488330476,-1.157577744,-4,,,,,,,,,,
86.65,30.55,-2.89,-0.94,,,,3.243466465,-2.938330476,-1.047577744,-4,,,,,,,,,,
86.66,28.47,-1.62,-0.41,,,,1.163466465,-1.668330476,-0.517577744,-4,,,,,,,,,,
86.67,30.84,-0.35,-0.23,,,,3.533466465,-0.398330476,-0.337577744,-4,,,,,,,,,,
86.68,29.89,-2.72,1.25,,,,2.583466465,-2.768330476,1.142422256,+4,,,,,,,,,,
86.69,29.55,-4.06,1.95,,,,2.243466465,-4.108330476,1.842422256,+4,,,,,,,,,,
86.7,27.21,-3.28,2.67,,,,-0.096533535,-3.328330476,2.562422256,+3,,,,,,,,,,
86.71,26.75,-0.87,2.75,,,,-0.556533535,-0.918330476,2.642422256,+3,,,,,,,,,,
86.72,31.45,-0.57,2.8,,,,4.143466465,-0.618330476,2.692422256,+4,,,,,,,,,,
86.73,30.27,-3.09,2.44,,,,2.963466465,-3.138330476,2.332422256,+4,,,,,,,,,,
86.74,33.03,-1.74,2.09,,,,5.723466465,-1.788330476,1.982422256,+4,,,,,,,,,,
86.75,29.8,-4.25,0.28,,,,2.493466465,-4.298330476,0.172422256,+4,,,,,,,,,,
86.76,28.76,-3.9,0.81,,,,1.453466465,-3.948330476,0.702422256,+4,,,,,,,,,,
86.77,28.85,1.47,1.18,,,,1.543466465,1.421669524,1.072422256,+1,,,,,,,,,,
86.78,30.05,2.58,0.66,,,,2.743466465,2.531669524,0.552422256,+1,,,,,,,,,,
86.79,29.03,-1.1,-0.23,,,,1.723466465,-1.148330476,-0.337577744,-4,,,,,,,,,,
86.8,32.91,1.11,-1.62,,,,5.603466465,1.061669524,-1.727577744,-1,,,,,,,,,,
86.81,30.41,-1.75,-0.73,,,,3.103466465,-1.798330476,-0.837577744,-4,,,,,,,,,,
86.82,29.9,1.58,-0.43,,,,2.593466465,1.531669524,-0.537577744,-1,,,,,,,,,,
86.83,29.39,4.91,-0.13,,,,2.083466465,4.861669524,-0.237577744,-1,,,,,,,,,,
86.84,29.64,3.24,-0.28,,,,2.333466465,3.191669524,-0.387577744,-1,,,,,,,,,,
86.85,28.61,-0.71,0.87,,,,1.303466465,-0.758330476,0.762422256,+4,,,,,,,,,,
86.86,31.11,1.67,1.47,,,,3.803466465,1.621669524,1.362422256,+1,,,,,,,,,,
86.87,30.48,-1.2,0.17,,,,3.173466465,-1.248330476,0.062422256,+4,,,,,,,,,,
86.88,29.39,-0.52,0.15,,,,2.083466465,-0.568330476,0.042422256,+4,,,,,,,,,,
86.89,27.96,0.22,-0.08,,,,0.653466465,0.171669524,-0.187577744,-1,,,,,,,,,,
86.9,25.56,-0.43,0.63,,,,-1.746533535,-0.478330476,0.522422256,+3,,,,,,,,,,
86.91,24.45,-4.8,-0.16,,,,-2.856533535,-4.848330476,-0.267577744,-3,,,,,,,,,,
86.92,27.27,-1.87,-0.62,,,,-0.036533535,-1.918330476,-0.727577744,-3,,,,,,,,,,
86.93,30.1,1.05,-1.08,,,,2.793466465,1.001669524,-1.187577744,-1,,,,,,,,,,
86.94,29.03,0,-0.31,,,,1.723466465,-0.048330476,-0.417577744,-4,,,,,,,,,,
86.95,24.46,1.15,0.4,,,,-2.846533535,1.101669524,0.292422256,+2,,,,,,,,,,
86.96,26.74,0.57,0.04,,,,-0.566533535,0.521669524,-0.067577744,-2,,,,,,,,,,
86.97,32.69,-2.37,1.52,,,,5.383466465,-2.418330476,1.412422256,+4,,,,,,,,,,
86.98,32.17,-1.32,0.92,,,,4.863466465,-1.368330476,0.812422256,+4,,,,,,,,,,
86.99,31.74,-3.61,-0.19,,,,4.433466465,-3.658330476,-0.297577744,-4,,,,,,,,,,
87,31.76,-4.5,-0.55,,,,4.453466465,-4.548330476,-0.657577744,-4,,,,,,,,,,
87.01,32.43,-3.26,-1,,,,5.123466465,-3.308330476,-1.107577744,-4,,,,,,,,,,
87.02,33.12,-2.42,-2.07,,,,5.813466465,-2.468330476,-2.177577744,-4,,,,,,,,,,
87.03,32.72,-3.02,-2.02,,,,5.413466465,-3.068330476,-2.127577744,-4,,,,,,,,,,
87.04,31.22,-3.63,-1.97,,,,3.913466465,-3.678330476,-2.077577744,-4,,,,,,,,,,
87.05,29.73,-0.19,-1.48,,,,2.423466465,-0.238330476,-1.587577744,-4,,,,,,,,,,
87.06,25.87,2.63,-0.07,,,,-1.436533535,2.581669524,-0.177577744,-2,,,,,,,,,,
87.07,27.8,1.22,-0.77,,,,0.493466465,1.171669524,-0.877577744,-1,,,,,,,,,,
87.08,30.15,-1.83,1.74,,,,2.843466465,-1.878330476,1.632422256,+4,,,,,,,,,,
87.09,32.5,0.44,1.99,,,,5.193466465,0.391669524,1.882422256,+1,,,,,,,,,,
87.1,33.9,-1.46,1.83,,,,6.593466465,-1.508330476,1.722422256,+4,,,,,,,,,,
87.11,34.42,-0.51,1.91,,,,7.113466465,-0.558330476,1.802422256,+4,,,,,,,,,,
87.12,34.07,1.82,-0.99,,,,6.763466465,1.771669524,-1.097577744,-1,,,,,,,,,,
87.13,34.72,1.48,-1.37,,,,7.413466465,1.431669524,-1.477577744,-1,,,,,,,,,,
87.14,35.35,-1.09,-1.83,,,,8.043466465,-1.138330476,-1.937577744,-4,,,,,,,,,,
87.15,35.97,1.33,-1.77,,,,8.663466465,1.281669524,-1.877577744,-1,,,,,,,,,,
87.16,34.04,3.75,-1.72,,,,6.733466465,3.701669524,-1.827577744,-1,,,,,,,,,,
87.17,32.11,3.29,-1.24,,,,4.803466465,3.241669524,-1.347577744,-1,,,,,,,,,,
87.18,30.23,-0.66,-0.03,,,,2.923466465,-0.708330476,-0.137577744,-4,,,,,,,,,,
87.19,31.17,1.31,-0.63,,,,3.863466465,1.261669524,-0.737577744,-1,,,,,,,,,,
87.2,32.98,-2.51,-1.05,,,,5.673466465,-2.558330476,-1.157577744,-4,,,,,,,,,,
87.21,33.37,-0.6,-0.84,,,,6.063466465,-0.648330476,-0.947577744,-4,,,,,,,,,,
87.22,35.04,-2.2,-0.82,,,,7.733466465,-2.248330476,-0.927577744,-4,,,,,,,,,,
87.23,34.83,3,-1.97,,,,7.523466465,2.951669524,-2.077577744,-1,,,,,,,,,,
87.24,34.96,1.57,-2.24,,,,7.653466465,1.521669524,-2.347577744,-1,,,,,,,,,,
87.25,35.26,0.35,-2.26,,,,7.953466465,0.301669524,-2.367577744,-1,,,,,,,,,,
87.26,34.81,-0.87,-2.28,,,,7.503466465,-0.918330476,-2.387577744,-4,,,,,,,,,,
87.27,32.37,1.16,-1.85,,,,5.063466465,1.111669524,-1.957577744,-1,,,,,,,,,,
87.28,29.94,3.33,-1.43,,,,2.633466465,3.281669524,-1.537577744,-1,,,,,,,,,,
87.29,28.15,0.65,-1.43,,,,0.843466465,0.601669524,-1.537577744,-1,,,,,,,,,,
87.3,30.59,1.26,0.03,,,,3.283466465,1.211669524,-0.077577744,-1,,,,,,,,,,
87.31,32.06,3.37,-0.43,,,,4.753466465,3.321669524,-0.537577744,-1,,,,,,,,,,
87.32,32.43,2.23,-1.31,,,,5.123466465,2.181669524,-1.417577744,-1,,,,,,,,,,
87.33,32.82,1.09,-2.48,,,,5.513466465,1.041669524,-2.587577744,-1,,,,,,,,,,
87.34,33.59,0.03,-2.8,,,,6.283466465,-0.018330476,-2.907577744,-4,,,,,,,,,,
87.35,32.3,0.56,-1.66,,,,4.993466465,0.511669524,-1.767577744,-1,,,,,,,,,,
87.36,31.02,1.73,-0.52,,,,3.713466465,1.681669524,-0.627577744,-1,,,,,,,,,,
87.37,32.69,2.91,-1.82,,,,5.383466465,2.861669524,-1.927577744,-1,,,,,,,,,,
87.38,31.07,0.15,-0.53,,,,3.763466465,0.101669524,-0.637577744,-1,,,,,,,,,,
87.39,32.02,-1.59,-0.97,,,,4.713466465,-1.638330476,-1.077577744,-4,,,,,,,,,,
87.4,32.98,-3.33,-1.42,,,,5.673466465,-3.378330476,-1.527577744,-4,,,,,,,,,,
87.41,31.05,-3.62,-0.13,,,,3.743466465,-3.668330476,-0.237577744,-4,,,,,,,,,,
87.42,29.12,-3.92,1.16,,,,1.813466465,-3.968330476,1.052422256,+4,,,,,,,,,,
87.43,30.01,-2.12,1.61,,,,2.703466465,-2.168330476,1.502422256,+4,,,,,,,,,,
87.44,32.37,-1.97,1.14,,,,5.063466465,-2.018330476,1.032422256,+4,,,,,,,,,,
87.45,31.97,-0.71,1.41,,,,4.663466465,-0.758330476,1.302422256,+4,,,,,,,,,,
87.46,29.42,0.71,1.37,,,,2.113466465,0.661669524,1.262422256,+1,,,,,,,,,,
87.47,28.24,1.89,1.47,,,,0.933466465,1.841669524,1.362422256,+1,,,,,,,,,,
87.48,31.47,1.78,2.08,,,,4.163466465,1.731669524,1.972422256,+1,,,,,,,,,,
87.49,31.5,3,1.19,,,,4.193466465,2.951669524,1.082422256,+1,,,,,,,,,,
87.5,31.54,4.52,0.21,,,,4.233466465,4.471669524,0.102422256,+1,,,,,,,,,,
87.51,31.79,3.08,0.49,,,,4.483466465,3.031669524,0.382422256,+1,,,,,,,,,,
87.52,33.38,4.54,-0.73,,,,6.073466465,4.491669524,-0.837577744,-1,,,,,,,,,,
87.53,33.79,3.81,-0.12,,,,6.483466465,3.761669524,-0.227577744,-1,,,,,,,,,,
87.54,33.53,-2.15,-1.6,,,,6.223466465,-2.198330476,-1.707577744,-4,,,,,,,,,,
87.55,33.27,-2.68,-2.49,,,,5.963466465,-2.728330476,-2.597577744,-4,,,,,,,,,,
87.56,33.25,-3.22,-2.8,,,,5.943466465,-3.268330476,-2.907577744,-4,,,,,,,,,,
87.57,33.24,-2.68,-2.82,,,,5.933466465,-2.728330476,-2.927577744,-4,,,,,,,,,,
87.58,31.67,-2.14,-2.87,,,,4.363466465,-2.188330476,-2.977577744,-4,,,,,,,,,,
87.59,31.47,1.71,-2.58,,,,4.163466465,1.661669524,-2.687577744,-1,,,,,,,,,,
87.6,31.27,-0.62,-2.29,,,,3.963466465,-0.668330476,-2.397577744,-4,,,,,,,,,,
87.61,27.95,-2.96,-1.65,,,,0.643466465,-3.008330476,-1.757577744,-4,,,,,,,,,,
87.62,31.81,-3.7,-0.38,,,,4.503466465,-3.748330476,-0.487577744,-4,,,,,,,,,,
87.63,33.18,-4.06,0.41,,,,5.873466465,-4.108330476,0.302422256,+4,,,,,,,,,,
87.64,28.74,-0.44,0.99,,,,1.433466465,-0.488330476,0.882422256,+4,,,,,,,,,,
87.65,28.45,2.12,-0.27,,,,1.143466465,2.071669524,-0.377577744,-1,,,,,,,,,,
87.66,30.08,3.79,-0.18,,,,2.773466465,3.741669524,-0.287577744,-1,,,,,,,,,,
