Time,U,V,W
36.31,31.83,-2.41,-1.68
36.32,31.97,-3.81,-1.19
36.33,30.46,-1.62,-0.46
36.34,31.6,-4.19,-0.48
36.35,30.1,-2.95,0.5
36.36,32.01,-1.92,0.1
36.37,31.09,-0.99,-0.01
36.38,30.18,-0.06,-0.13
36.39,31.02,2.15,-0.01
36.4,29.49,0.19,0.12
36.41,31.65,-1.57,-1.09
36.42,28.61,-1.64,-0.37
36.43,31.29,-3.37,-0.43
36.44,31.95,-3.8,-0.49
36.45,32.62,-4.24,-0.45
36.46,30.7,-4.06,0.98
36.47,32.83,-4.71,1
36.48,32.27,-3.8,1.02
36.49,31.72,-2.9,0.14
36.5,28.47,-0.43,-0.74
36.51,26.77,-2.03,0.02
36.52,26.91,-0.47,1.38
36.53,27.05,1.08,1.65
36.54,27.15,1.74,1.92
36.55,27.25,2.41,1.09
36.56,28.13,2.64,0.26
36.57,31.31,-1.57,-1.31
36.58,33.25,-3.64,-1.56
36.59,30.72,-0.34,-2.2
36.6,28.2,-1.97,-1.73
36.61,28.79,-4.23,-1.27
36.62,26.69,-6.1,0.28
36.63,24.6,-6.18,1.83
36.64,23.62,-2.61,2.19
36.65,28.2,0.94,2.06
36.66,27.41,3.94,2
36.67,27.11,3.66,2.37
36.68,26.05,5.36,2.44
36.69,25,6.25,2.51
36.7,27.57,5.54,1.15
36.71,29.14,4.83,0.03
36.72,30.71,1.71,0.59
36.73,29.73,-1.4,-1.15
36.74,27.98,-0.28,-0.78
36.75,26.24,0.83,-0.41
36.76,29.8,2.56,0.12
36.77,29.96,0.1,0.26
36.78,29.46,2.05,0.62
36.79,28.13,4.38,0.45
36.8,26.82,3.17,0.98
36.81,25.51,1.97,1.51
36.82,31.85,3.48,2.48
36.83,31.95,1.31,2.19
36.84,28.28,2.96,1.95
36.85,28.52,4.12,1.81
36.86,28.76,4,1.67
36.87,29.06,3.88,0.01
36.88,28.27,5.24,-0.65
36.89,28.18,6.71,-0.56
36.9,31.61,8.05,-1.04
36.91,32.3,9.33,-1.42
36.92,33,8.61,-1.81
36.93,29.96,9.59,-1.94
36.94,29.15,8.03,-2.07
36.95,28.29,7.09,-1.81
36.96,30.94,6.45,-1.48
36.97,30.67,7.19,-1.15
36.98,30.41,5.75,-0.99
36.99,31.88,4.32,0.17
37,32.26,3.86,-0.28
37.01,32.65,3.4,-0.74
37.02,32.42,2.55,0.3
37.03,29.6,1.75,0.54
37.04,32.1,-0.74,0.77
37.05,33.55,1.79,-0.6
37.06,34.29,2.69,-0.09
37.07,32.07,3.59,0.41
37.08,29.85,3.31,-0.1
37.09,32.43,3.45,0.15
37.1,31.2,2.03,1.27
37.11,32.18,-0.85,0.81
37.12,30.19,2.01,0.46
37.13,31.18,0.58,0.63
37.14,31.04,-0.71,-1.03
37.15,30.91,-1.85,-1.68
37.16,29.57,-2.15,-1.96
37.17,28.07,-2.47,-2.24
37.18,26.57,-2.8,-2.15
37.19,29.42,-1.71,-1.14
37.2,32.28,-0.63,-0.15
37.21,31.63,-1.16,-0.91
37.22,31.56,-1.17,-0.48
37.23,31.49,-1.19,-0.05
37.24,30.84,-2.26,-0.68
37.25,29.92,-0.74,-0.53
37.26,29.01,-1,0.06
37.27,28.79,0.85,0.08
37.28,28.58,2.71,0.1
37.29,28.67,-0.96,0.05
37.3,30.63,1.68,-0.74
37.31,24.61,-0.41,-0.35
37.32,28.33,-1.61,-0.51
37.33,26.78,0.4,-0.57
37.34,26.94,1.31,0.1
37.35,27.23,-3.61,-0.05
37.36,27.97,-2.9,0.19
37.37,28.72,-2.19,0.43
37.38,28.49,-1.86,1.03
37.39,27.09,2.15,1.49
37.4,25.74,4.09,1.97
37.41,26.41,2.5,2.46
37.42,28.27,0.93,2.42
37.43,31.69,1.86,2.39
37.44,29.01,2.74,0.83
37.45,28.08,-0.54,0.43
37.46,27.7,-3.7,-0.05
37.47,28.16,-3.1,-0.13
37.48,26.46,-2.5,0.23
37.49,27.09,-2.45,-0.04
37.5,27.72,-2.41,-0.32
37.51,26.3,-2.77,0.15
37.52,24.41,2.18,0.73
37.53,23.58,-1.14,0.24
37.54,27.5,-1.68,1.2
37.55,25.58,-3.44,0.89
37.56,21.23,-2.62,2.2
37.57,23.58,-1.8,3.41
37.58,25.94,1.7,4.17
37.59,25.56,2.65,3.69
37.6,29.8,3.84,2.87
37.61,28.88,2.98,2.06
37.62,30.61,3.77,-1.15
37.63,32.34,3.37,0.45
37.64,30.61,3.57,-0.35
37.65,28.88,-2.85,0.97
37.66,28.61,-3.13,0.81
37.67,26.89,0.3,0.51
37.68,26.78,-1.89,0.08
37.69,26.57,-0.35,0.08
37.7,24.46,3.13,-0.19
37.71,25.51,1.39,-0.05
37.72,27.45,-4.38,1.48
37.73,24.81,-3.01,1.46
37.74,22.17,-1.65,1.44
37.75,23.07,-0.86,1.97
37.76,23.98,-0.07,2.5
37.77,25.76,1.24,2.43
37.78,25.45,-2.17,1.64
37.79,24,1.3,-0.2
37.8,26.69,1.1,0.12
37.81,26.78,-3.84,-0.1
37.82,26.99,-0.79,-0.42
37.83,24,-0.23,-0.57
37.84,23.17,0.32,-0.74
37.85,22.34,-0.26,-0.54
37.86,26.35,-2.53,-0.57
37.87,27.02,-2.69,-0.98
37.88,26.15,-0.1,-0.77
37.89,26.87,1.42,-1.05
37.9,25.9,1.99,0.15
37.91,27.99,-0.47,-0.39
37.92,30.09,-2.93,-0.93
37.93,31.13,-3.51,-0.74
37.94,32.18,-3.22,-0.83
37.95,31.4,1.49,-1.55
37.96,32.02,0.11,-2.12
37.97,32.63,-0.44,-2.04
37.98,31.15,-0.71,-2
37.99,29.67,-0.98,-1.97
38,30.66,-0.49,-1.51
38.01,28,-2.75,-0.65
38.02,28.2,-3.97,-0.37
38.03,25.49,-3.13,0.03
38.04,28.16,-2.71,-0.53
38.05,30.84,-2.29,-1.09
38.06,32.96,-2.33,-0.28
38.07,32.14,-1.74,0.31
38.08,30.83,-1.14,0.24
38.09,29.7,1.11,0.39
38.1,28.58,3.37,0.55
38.11,29.14,2.24,0.47
38.12,25.24,0.8,-0.35
38.13,26.37,-3.86,-0.38
38.14,29.64,-1.83,-0.12
38.15,27.77,-3.33,-0.93
38.16,31.67,-2.14,-1.94
38.17,26.01,0.68,-1.54
38.18,24.15,2.08,-0.51
38.19,24.93,2.11,0.11
38.2,25.72,2.14,0.74
38.21,26.93,0.88,0.87
38.22,29.48,1.48,0.2
38.23,29.01,0,0.6
38.24,24.57,0.34,0.05
38.25,27.02,1.74,0.13
38.26,26.07,0.98,0.1
38.27,25.13,0.23,0.07
38.28,29.17,-0.63,0.74
38.29,29.01,-2.87,0.6
38.3,32.01,-1.63,-0.66
38.31,27.36,-2.91,-0.86
38.32,27.25,-3.95,-1.41
38.33,26.71,-3.09,-0.74
38.34,27.18,-2.23,0.03
38.35,28.02,-3.19,0.54
38.36,28.91,-4.15,1
38.37,29.8,-1.2,1.46
38.38,32.91,-3.22,1.85
38.39,27.91,-1.86,0.76
38.4,28.85,0.65,-0.03
38.41,27.84,-2.38,0.54
38.42,28.43,-1.66,0.09
38.43,29.04,-0.94,-0.35
38.44,31.18,-1.04,-0.65
38.45,30.53,-0.06,-1.41
38.46,29.89,0.41,-1.11
38.47,27.68,1.53,-0.06
38.48,30.39,-2.43,-0.2
38.49,29.69,-3.06,-0.15
38.5,30.55,-3.7,-1.42
38.51,32.64,-0.06,-2.26
38.52,33.07,2.52,-2.82
38.53,33.5,-0.08,-2.94
38.54,30.55,-3.15,-2.67
38.55,32.42,-1.67,-2.2
38.56,32.21,-0.19,-1.74
38.57,32.01,1.3,-1.66
38.58,28.72,2.85,0.57
38.59,32.48,0.37,-1.3
38.6,30.16,2.76,-0.59
38.61,28.52,0.49,-0.52
38.62,28.16,-0.71,-0.37
38.63,31.16,0.78,0.6
38.64,31.94,2.94,-0.82
38.65,32.73,3.59,-0.65
38.66,31.36,-0.38,-0.15
38.67,32.95,1.25,-1.05
38.68,31.13,2.84,-1.61
38.69,29.31,1.77,-1.56
38.7,30.98,1.3,-1.24
38.71,29.65,3.94,-0.86
38.72,28.33,4.2,-0.49
38.73,28.89,4.47,0.32
38.74,29.46,2.37,1.14
38.75,32.34,3.38,0.77
38.76,29.87,2.74,0.71
38.77,33.32,1.3,1.03
38.78,32.94,-0.13,1.36
38.79,32.57,-1.68,-0.34
38.8,31.76,-2.06,-0.17
38.81,33.36,1.6,-0.87
38.82,32.56,-0.23,-0.52
38.83,27.02,-1.74,-0.83
38.84,29.79,-3.26,-0.67
38.85,32.04,-0.51,-1.81
38.86,33.2,-2.22,-1.35
38.87,33.82,-0.71,-1.59
38.88,32.4,0.8,-1.84
38.89,30.98,2.5,-0.03
38.9,31.79,2.18,-0.94
38.91,33.12,1,-0.98
38.92,32.81,1.59,-0.96
38.93,32.51,1.92,-1.75
38.94,31.6,1.02,-0.66
38.95,33.55,4.82,-0.27
38.96,35.11,3.74,-0.08
38.97,37.1,2.99,-0.97
38.98,35.4,2.25,-1.87
38.99,34.83,-0.93,-1.14
39,33.54,-1.81,-1.97
39.01,32.26,-2.95,-0.38
39.02,32.67,-0.74,-0.68
39.03,33.3,-0.08,-1.6
39.04,29.82,1.67,-0.57
39.05,29.84,-1.15,-0.37
39.06,31.59,3.84,-1.25
39.07,33.34,1.41,-1.55
39.08,32.4,-1.21,-2.08
39.09,32.67,1.93,-2.02
39.1,31.86,2.22,-1.96
39.11,31.06,2.52,-1.6
39.12,30.86,2.41,-1.35
39.13,30.66,-2.05,-0.65
39.14,31.88,-2.97,-1.66
39.15,33.1,-3.48,-1.52
39.16,31.37,-0.53,-1.58
39.17,29.64,2.41,-1.64
39.18,30,-0.32,-1.24
39.19,33.1,-3.07,-1.76
39.2,29.91,-2.48,-1.21
39.21,25.99,-0.35,-0.74
39.22,25.88,-0.55,0.24
39.23,30.34,0.99,0.07
39.24,28.81,-0.4,-0.98
39.25,30.34,-3.28,-1.37
39.26,26.19,-3.88,-0.6
39.27,27.86,0.77,-0.33
39.28,29.63,1.86,-0.26
39.29,28.93,4.2,-0.03
39.3,28.24,4.78,0.19
39.31,28.58,5.36,0.08
39.32,28.41,5.51,0.13
39.33,28.49,5.65,0.1
39.34,28.45,2.06,0.11
39.35,32.98,-1.53,-1.69
39.36,31.83,-3.9,-2.44
39.37,30.86,-2.92,-2.56
39.38,30.66,-1.94,-2.14
39.39,31.77,-4.12,-1.73
39.4,31.7,-2.4,-0.32
39.41,28.65,-1.75,-0.55
39.42,30.17,-2.07,-0.43
39.43,30.45,0.44,-2.12
39.44,25.67,-3.05,-2.16
39.45,26.55,-3.69,-2.21
39.46,26.81,-4.34,-0.56
39.47,27.07,-3.2,1.07
39.48,30.03,1.97,-0.59
39.49,30.55,1.33,-1.39
39.5,29.27,0.34,-1.42
39.51,27.99,-0.65,-1.46
39.52,28.99,-2.52,-1.36
39.53,28.49,-4.4,-1.41
39.54,30.55,-2.74,-1.49
39.55,24.65,-4.71,0.26
39.56,26.62,-4.9,0.49
39.57,26.58,-3.41,1.46
39.58,29.24,-1.93,2.29
39.59,28.22,-2.09,1.73
39.6,29.73,-2.86,2.06
39.61,28.74,-0.59,1.3
39.62,29.87,-2.47,1.11
39.63,31,-4.36,0.93
39.64,30.7,-2.69,0.92
39.65,29.3,1.16,0.82
39.66,29.19,0.49,0.68
39.67,26.17,-1.76,0
39.68,29.64,-3.93,0.41
39.69,27.55,-3.77,1.04
39.7,30.72,-3.61,1.62
39.71,27.57,-2.47,0.57
39.72,28.76,-3.39,-0.19
39.73,28.16,-4.31,0.19
39.74,28.7,3.62,-1.82
39.75,27.14,2.28,-1.75
39.76,24.51,3.19,-0.98
39.77,27.73,4.1,-1.46
39.78,28.38,2.92,-2.15
39.79,28.25,4.19,-2.19
39.8,25.03,4.19,-2.23
39.81,21.82,4.19,-1.61
39.82,23.89,3.56,-1.23
39.83,25.97,2.94,-0.86
39.84,26.21,4.4,0.06
39.85,25.97,3.79,0.17
39.86,28.02,3.18,-0.71
39.87,25.78,-1.26,-0.05
39.88,24.05,0.43,0.3
39.89,28.18,1.24,-0.1
39.9,28,4.06,0.32
39.91,31.67,0.6,-0.63
39.92,31.64,-2.86,-1.59
39.93,31.61,-3.66,-1.15
39.94,33.48,-4.46,-1.37
39.95,33.63,-6.13,-1.86
39.96,33.79,-7.8,-2.35
39.97,32.38,-8.44,-2.36
39.98,30.98,-5.84,-1.29
39.99,31.4,-3.24,-0.24
40,31.56,-1.85,-0.43
40.01,31.49,-0.44,-1.4
40.02,31.42,-2.83,-2.23
40.03,30.66,-1.02,-1.74
40.04,30.7,-0.77,-1.75
40.05,30.05,-0.52,-1.73
40.06,27.05,0.93,-1.72
40.07,23.84,1.78,-1.32
40.08,23.03,2.63,-0.28
40.09,22.22,4.17,-0.8
40.1,27.39,5.72,0.03
40.11,23.18,3.94,0.3
40.12,22.33,2.16,1.05
40.13,22.2,4.28,1.44
40.14,25.99,2.14,2.52
40.15,24.96,-0.82,2.01
40.16,28.18,-0.19,1.78
40.17,25.51,0.12,0.77
40.18,25.9,0.91,-0.13
40.19,25.26,1.15,1.35
40.2,24.44,1.32,1.53
40.21,27.19,0.58,2.58
40.22,29.94,-0.15,2.97
40.23,28,-0.68,3.24
40.24,26.51,-0.08,3.03
40.25,26.84,-0.72,2.59
40.26,27.18,-1.37,2.15
40.27,29.43,-0.45,1.59
40.28,31.69,0.46,1.04
40.29,30.5,-0.43,0.6
40.3,29.37,-2.71,0.51
40.31,32.82,-6.18,0.66
40.32,30.27,-6.16,1.21
40.33,31.79,-4.99,2.34
40.34,31.18,-3.83,3.09
40.35,31.45,-4.26,3.66
40.36,31.72,-4.71,4.56
40.37,32.34,-1.37,4.63
40.38,32.97,-0.78,4.29
40.39,31.99,-0.19,3.54
40.4,30.05,4.88,2.91
40.41,25.95,4.41,2.28
40.42,21.86,3.95,1.77
40.43,24.16,-1.68,2.03
40.44,32.71,-2.69,2.36
40.45,28.43,-2.18,1.58
40.46,30.77,-1.17,0.81
40.47,30.39,-0.96,-0.24
40.48,28.38,-2.29,-0.65
40.49,27.42,-2.57,-0.32
40.5,26.46,-2.86,0
40.51,31.15,-2.75,0.65
40.52,30.91,2.78,0.54
40.53,31.03,0.01,0.59
40.54,28.31,-2.01,-1.92
40.55,31.85,-0.48,-1.53
40.56,30.98,1.68,-1.3
40.57,27.05,-1.07,-1.38
40.58,29,1.28,-0.99
40.59,30.95,3.64,-0.6
40.6,25.09,3.42,0.62
40.61,26.11,1.51,0.79
40.62,27.81,2.43,0.64
40.63,29.51,3.35,0.49
40.64,26.33,-0.05,-0.07
40.65,28.72,-2.32,-0.86
40.66,29.19,2.28,-0.94
40.67,29.75,-0.51,-1.94
40.68,25.88,-0.19,-1.46
40.69,27.1,0.92,-1.88
40.7,28.33,2.05,-1.45
40.71,24.27,-0.35,-1.02
40.72,24.94,1.86,-1.44
40.73,28.14,0.34,-1.37
40.74,31.34,-1.16,-1.31
40.75,29.74,-0.41,-1.34
40.76,30.54,-0.79,-1.32
40.77,30.14,-0.6,-1.33
40.78,25.47,1.67,-0.76
40.79,21.86,1.42,-0.81
40.8,23.89,3.13,-1.15
40.81,25.69,0.68,-1.48
40.82,25.13,1.53,-1.41
40.83,24.07,1.22,-0.76
40.84,23.01,1.37,-1.08
40.85,21.95,1.29,-0.92
40.86,28.24,3.44,-0.94
40.87,29.21,3.2,-1.98
40.88,23.12,2.96,-1.7
40.89,23.37,4.35,-0.48
40.9,23.44,5.23,0.08
40.91,23.86,5.64,0.17
40.92,24.82,5.82,0.24
40.93,25.78,4.5,0.31
40.94,25.02,3.18,1.2
40.95,26.62,4.3,0
40.96,28.34,4.32,0.24
40.97,27.57,4.63,0.6
40.98,27.75,-1.87,-0.03
40.99,27.66,1.38,0.28
41,33.01,1.6,-0.31
41.01,32.32,0.62,-1.07
41.02,31.65,-0.35,-1.83
41.03,29.42,1.75,-1.9
41.04,30.37,-1.9,-1.74
41.05,29.71,0.19,-1.04
41.06,33.23,-1.33,-0.63
41.07,30.3,-4.92,-0.03
41.08,27.37,-5.81,0.55
41.09,28.83,-4.14,0.26
41.1,29.58,-2.47,0.54
41.11,32.67,-3.5,-0.81
41.12,31.83,-2.96,-1.86
41.13,25.38,-5.71,-0.41
41.14,23.52,-8.29,1.25
41.15,21.67,-8.98,1.66
41.16,22.59,-9.62,2.08
41.17,22.13,-9.79,2.49
41.18,22.36,-9.94,2.28
41.19,22.24,-9.97,2.37
41.2,22.3,-10.01,2.33
41.21,22.27,-10.01,2.35
41.22,22.28,-10.02,2.33
41.23,22.27,-10.01,2.33
41.24,22.27,-10.01,2.33
41.25,22.27,-10.01,2.33
41.26,22.27,-6.64,2.33
41.27,26.82,-3.28,0
41.28,31.48,-4.27,0.26
41.29,32.06,-0.7,-0.15
41.3,32.64,2.87,-0.57
41.31,33.86,0.44,-0.11
41.32,33.33,-1.99,0.35
41.33,32.81,-2.28,0.71
41.34,30.54,-2.58,1.08
41.35,24.83,-3.45,0.57
41.36,27.68,-4.32,0.82
41.37,31,-2.36,1.22
41.38,31.63,-0.57,-0.13
41.39,32.26,-1.49,-0.63
41.4,26.89,-0.77,-0.43
41.41,29.89,-0.8,0.83
41.42,32.98,1.96,0.92
41.43,31.97,-0.92,-0.19
41.44,30.97,-3.81,-1.3
41.45,33.21,-1.79,-1.78
41.46,32.3,-1.56,-1.77
41.47,30.25,0.27,-2.25
41.48,22.87,-1.55,-0.27
41.49,26.56,-0.64,-1.26
41.5,30.68,-2.74,0.76
41.51,30.95,-0.06,0.48
41.52,31.29,-0.98,0.68
41.53,28.97,-3.13,-0.06
41.54,29.71,-3.77,-0.1
41.55,29.56,-2.1,-0.32
41.56,27.59,0.15,0.22
41.57,25.63,2.41,0.76
41.58,29.67,1.26,0.68
41.59,31.09,0.54,1.4
41.6,31.15,4.36,0.54
41.61,33.59,0.71,-0.77
41.62,33.79,0.87,-2.11
41.63,33.51,1.33,-2.32
41.64,33.23,3.88,-2.67
41.65,33.1,2.01,-3.01
41.66,31.7,0.35,-3.41
41.67,32.15,3.44,-2.86
41.68,31.6,3.73,-2.5
41.69,32.98,4.17,-2.16
41.7,30.68,4.24,-1.97
41.71,29.78,4.32,-2.04
41.72,26.69,5.42,-0.82
41.73,28.23,3.34,-1.43
41.74,30.25,1.27,-0.36
41.75,29.24,3.9,0.71
41.76,33.31,3.32,1.65
41.77,30.32,2.49,0.86
41.78,27.77,2.8,0.81
41.79,26.74,2.42,1.25
41.8,26.23,2.69,1.83
41.81,25.72,2.96,2.42
41.82,26.33,0.12,2.33
41.83,28.51,-1.29,2.23
41.84,26.81,1.62,1.92
41.85,25.11,4.54,1.62
41.86,23.98,1.9,1.25
41.87,22.85,-0.73,0.88
41.88,24.42,-2.58,1.72
41.89,26.46,-4.74,1.61
41.9,25.07,-1.57,2.37
41.91,23.68,-3.15,1.99
41.92,23.93,-4.03,2.27
41.93,26.32,-3.14,2.15
41.94,24.17,-2.25,2.03
41.95,25.78,-1.31,1.88
41.96,24.31,-2.88,2.1
41.97,25.56,-3.84,2.12
41.98,28.76,-3.46,2.16
41.99,31.1,-3.08,2.01
42,30.17,-2.53,0.73
42.01,31.27,-3.65,0
42.02,32.37,-4.78,-0.74
42.03,31.4,-4.03,-0.5
42.04,30.45,-3.28,-0.27
42.05,30.3,-0.63,-0.51
42.06,30.18,3.05,-0.65
42.07,31.13,0.6,-1.48
42.08,29.3,1.35,-0.76
42.09,31.22,1.92,-0.73
42.1,32.75,-1.75,-2.08
42.11,31.57,-1.14,-1.69
42.12,30.39,-2.61,-1.31
42.13,28.85,0.6,-1.19
42.14,27.7,2.75,-0.01
42.15,28,-0.58,0.92
42.16,33.32,-1.83,-0.2
42.17,30.66,-3.08,0.36
42.18,31.7,2.41,-1.09
42.19,28.49,2.19,-0.71
42.2,25.29,1.98,-0.34
42.21,27.72,3.11,0.54
42.22,30.16,4.25,1.43
42.23,31.85,-0.68,-0.71
42.24,26.24,-2.28,-0.37
42.25,28.42,1.35,0.68
42.26,32.31,-2.25,0.83
42.27,31.67,-2.18,0.06
42.28,32.22,-2.31,0.13
42.29,32.92,-1.22,0.51
42.3,33.69,-1.76,0.32
42.31,33.25,-1.93,-0.38
42.32,32.82,-0.59,0.65
42.33,29.84,-2.08,0.85
42.34,26.87,-3.57,1.05
42.35,33.14,-2.96,1.27
42.36,30.66,-1.99,1.42
42.37,31.75,1.48,0.91
42.38,32.84,-0.25,1.15
42.39,25.24,1.51,0.98
42.4,29.04,0.63,1.06
42.41,29.19,-3.77,-0.2
42.42,29.11,-1.57,0.43
42.43,28.27,3.05,-0.03
42.44,24.28,2.77,-0.52
42.45,28.18,-2.51,-0.74
42.46,33,-2.62,0.94
42.47,30.59,-2.56,0.1
42.48,25.61,-0.66,1.21
42.49,28.69,1.75,1.19
42.5,28.99,2.15,0.91
42.51,27.82,1.32,1.19
42.52,29.27,0.86,1.05
42.53,27.56,1.37,1.09
42.54,25.85,1.89,1.13
42.55,26.55,4.45,1.15
42.56,26.1,3.05,1.49
42.57,24.67,1.64,0.7
42.58,28.92,1.74,1.25
42.59,28.11,-0.39,0.78
42.6,29.21,-0.64,0.06
42.61,30.32,-0.89,-0.65
42.62,26.79,-1.42,-0.12
42.63,23.26,-1.95,0.4
42.64,24.27,-1.09,-0.16
42.65,25.29,-0.23,-0.74
42.66,24.71,0.57,-0.87
42.67,23.61,-1.87,-0.06
42.68,26.42,-2.17,0.21
42.69,29.11,0.34,-0.65
42.7,31.81,2.86,-1.52
42.71,27.36,-0.46,-1.18
42.72,28.28,1.81,-2.04
42.73,29.21,4.1,-2.68
42.74,30.61,3.07,-2.98
42.75,28.97,4.67,-3.03
42.76,24.54,2.88,-2.99
42.77,26.66,1.09,-3.01
42.78,28.65,1.34,-2.7
42.79,25.39,0.12,-2.24
42.8,22.13,-1.1,-1.78
42.81,24.05,-3.13,0.06
42.82,26.78,-3.79,2.09
42.83,31.54,-2,1.76
42.84,29.97,2.06,1.25
42.85,28.4,3.07,0.74
42.86,29.18,4.09,0.99
42.87,30.31,-2.73,-0.03
42.88,31.45,0.67,0.48
42.89,24.71,0.1,0.05
42.9,28.07,0.38,0.26
42.91,29.35,1.63,-0.06
42.92,30.75,1.61,-0.63
42.93,29.3,2.45,-1.43
42.94,28.59,0.92,-1.03
42.95,27.88,-0.6,-0.63
42.96,28.66,-0.53,-0.43
42.97,28.01,1.75,0.11
42.98,28.26,2.15,-0.25
42.99,28.66,5.09,-0.09
43,29.06,5.48,0.06
43.01,28.24,5.41,-1.78
43.02,27.63,2.05,-1.23
43.03,21.94,-1.3,-0.68
43.04,24.78,2.02,-1.52
43.05,24.51,4.19,1.03
43.06,25.44,5.79,0.73
43.07,26.37,6.49,0.43
43.08,26.75,6.61,-0.15
43.09,21.97,5.26,0.37
43.1,21.41,3.92,1.44
43.11,25.83,2.25,1.42
43.12,27.12,0.6,1.4
43.13,26.19,0.8,0.35
43.14,25.6,2.22,-1.08
43.15,24.12,2.15,-1.31
43.16,24.56,0.1,-1.68
43.17,23.51,1.22,-1.4
43.18,26.03,-0.55,-2.03
43.19,29.89,2.88,-2.3
43.2,27.96,1.15,-2.16
43.21,23.37,2.1,-0.35
43.22,25.66,1.63,-1.25
43.23,29.96,-0.23,-0.82
43.24,29.85,4.39,-0.38
43.25,25.33,2.7,-0.85
43.26,26.64,4.04,-0.6
43.27,29.51,2.65,-1.1
43.28,30.46,1.26,-2.23
43.29,28.63,0.44,-1.42
43.3,28.58,3.18,-1.63
43.31,32.28,2.62,-0.71
43.32,33.31,-0.43,-1.53
43.33,33.13,0.3,-1.86
43.34,32.96,-3.11,-0.59
43.35,34.37,0.68,-1.71
43.36,32.75,-0.87,-2.03
43.37,31.15,-2.04,-0.51
43.38,32.76,2.41,-0.81
43.39,33.18,1.98,-0.86
43.4,30.79,-1.65,-0.19
43.41,27.82,-0.52,1.43
43.42,28.18,-0.1,1.18
43.43,30.37,-3.24,1.29
43.44,32.56,-1.67,1.24
43.45,33.02,-3.18,-0.89
43.46,33.48,-4.69,-1.64
43.47,25.33,-5.63,0
43.48,29.4,-3.64,-0.82
43.49,28.22,-1.66,1.94
43.5,25.72,3.73,2.95
43.51,29.87,2.88,2.62
43.52,31.27,2.04,2.29
43.53,30.61,1.37,1.56
43.54,32.26,-0.63,1.07
43.55,30,2.73,0.83
43.56,27.75,2.57,0.6
43.57,30,2.41,0.93
43.58,28.72,4.05,0.01
43.59,26.94,3.46,-0.06
43.6,29.06,0.88,-0.16
43.61,31.18,-1.7,-0.27
43.62,30.01,-0.41,-0.2
43.63,28.63,1.53,-0.7
43.64,30.82,3.29,-0.21
43.65,29.72,5.35,-0.45
43.66,31.27,5.86,-0.99
43.67,32.82,5.59,-1.7
43.68,30.14,5.12,-1.73
43.69,29.44,4.65,-1.76
43.7,27.52,2.88,-1.68
43.71,30.32,4.25,-1.7
43.72,30.21,3.77,-0.82
43.73,31.22,3.02,-0.31
43.74,33.41,3.37,-1.46
43.75,33.88,-2.96,0.07
43.76,31.04,0.2,-0.69
43.77,28.2,-1.61,-0.44
43.78,31.28,-0.7,-0.56
43.79,28.81,4.46,-0.46
43.8,30.04,1.88,-0.51
43.81,25.83,-0.43,-0.6
43.82,25.56,2.07,0.65
43.83,26.64,-1.09,-0.1
43.84,28.38,-0.77,0.15
43.85,28.36,-2.85,-0.18
43.86,28.36,-4.03,-0.52
43.87,30.82,-3.2,-1.44
43.88,30.64,-2.37,-0.86
43.89,29.99,-1.37,-0.52
43.9,29.35,-0.38,-0.19
43.91,31.52,-1.09,-0.41
43.92,33.52,-0.88,-0.74
43.93,33.68,1.64,-0.46
43.94,29.71,0.38,-0.6
43.95,25.74,-2.63,-0.87
43.96,29.8,-1.12,-0.73
43.97,31.96,-4.28,-0.03
43.98,31.39,-3.29,-1.02
43.99,30.82,-2.49,-0.1
44,31.54,-1.87,-0.74
44.01,33.1,2.38,-1.72
44.02,29.8,1.25,-1.3
44.03,31.52,2.18,-1.9
44.04,28.69,4.41,-0.94
44.05,31.49,-0.83,-1.05
44.06,30.36,-2.24,-1.18
44.07,29.24,-3.66,-1.31
44.08,27.32,-0.73,0
44.09,30.37,-3.77,1.3
44.1,31.74,-0.24,1.24
44.11,32.01,0.68,0.57
44.12,31.18,-0.48,0.52
44.13,31.67,1.86,0.65
44.14,30.14,0.03,0.1
44.15,31.15,1.32,0.15
44.16,31.75,3.28,-0.98
44.17,32.37,0.87,-1.98
44.18,30.16,1.25,-2.28
44.19,27.97,1.63,-2.07
44.2,29.65,2,-1.87
44.21,31.34,2.38,-1.15
44.22,29.37,0.59,-1.38
44.23,28.85,2.97,-1.49
44.24,29.24,0.03,-1.88
44.25,33.55,3.53,-1.82
44.26,31.07,0.35,-2.19
44.27,30.18,-0.17,-1.85
44.28,26.87,-0.65,-1.53
44.29,28.97,-0.06,-0.68
44.3,30.27,-0.92,-0.27
44.31,30.45,-1.15,-0.19
44.32,28.9,2.16,0.15
44.33,29.33,2.3,-0.44
44.34,30.14,0.41,-0.66
44.35,26.12,0.48,0.19
44.36,27.32,2.98,0.13
44.37,29.34,1.19,0.06
44.38,31.36,-0.59,0
44.39,29.67,-0.65,-1.4
44.4,29.15,-2.31,-1.81
44.41,23.95,-2.76,-0.37
44.42,23.64,-0.49,-0.91
44.43,27.03,-0.43,0.31
44.44,28.42,1.34,0.67
44.45,26.77,2.27,0.74
44.46,25.13,3.2,0.82
44.47,26.28,3.23,0.82
44.48,26.93,3.26,0.35
44.49,26.06,4.91,0.58
44.5,25.88,-2.66,0.2
44.51,25.97,1.12,0.39
44.52,24.57,2.69,1.1
44.53,24.23,4.01,1.52
44.54,25.9,4.79,1.61
